epoch,train_loss,train_acc,eval_loss,eval_acc,eval_acc_top5,lr,best_eval_acc
25,0.9215398944398892,88.65303983228512,0.4991953095344648,86.82824025289779,97.10221285563752,0.00031470476127563017,86.82824025289779
26,0.8935314675547043,89.50471698113208,0.45929175256520854,87.77660695468914,97.04952581664911,0.00030197792270443975,87.77660695468914
27,0.8672075152896985,90.53983228511531,0.4278857265024969,89.35721812434141,97.6290832455216,0.0002891086162600577,89.35721812434141
28,0.8319168891796775,91.9287211740042,0.44129604500010844,88.46153846153847,97.57639620653319,0.00027613211581691336,89.35721812434141
29,0.8107972902321966,92.57075471698113,0.4176223578973741,89.98946259220232,97.41833508956796,0.00026308398906073593,89.98946259220232
30,0.7823639053468684,93.69758909853249,0.36504298290757914,90.88514225500526,97.89251844046365,0.00025000000000000006,90.88514225500526
31,0.7684601482855199,94.01205450733752,0.36996200005548396,90.20021074815595,97.78714436248683,0.00023691601093926408,90.88514225500526
32,0.7352903830180378,94.98165618448637,0.37396996416489114,90.83245521601685,97.89251844046365,0.00022386788418308668,90.88514225500526
33,0.7263743011456616,95.13888888888889,0.3415338148464016,91.51738672286618,98.05057955742888,0.0002108913837399423,91.51738672286618
34,0.7050535873796955,95.95125786163523,0.3411849253546953,91.99157007376185,97.89251844046365,0.00019802207729556018,91.99157007376185
35,0.6888524671270663,96.77672955974843,0.3350000333735764,92.09694415173867,97.78714436248683,0.00018529523872436987,92.09694415173867
36,0.6780518736979246,96.89465408805032,0.30706580281571666,92.14963119072708,98.36670179135933,0.0001727457514062632,92.14963119072708
37,0.6550117813566196,97.458071278826,0.30034729584784603,92.67650158061117,98.2086406743941,0.00016040801261367496,92.67650158061117
38,0.6418643597536867,97.62840670859539,0.2979714575962598,92.62381454162276,98.47207586933614,0.00014831583923105002,92.67650158061117
39,0.6331632760835644,97.94287211740041,0.2866676477725187,92.8345626975764,98.31401475237092,0.00013650237506511334,92.8345626975764
40,0.62873701991775,98.06079664570231,0.28500710794401873,93.15068493150685,98.47207586933614,0.00012500000000000008,93.15068493150685
41,0.6107642686841873,98.65041928721175,0.2944280462156985,93.20337197049525,98.2086406743941,0.00011384024124624333,93.20337197049525
42,0.6128563855928945,98.34905660377359,0.2794865869197629,93.36143308746048,98.10326659641728,0.00010305368692688177,93.36143308746048
43,0.5996837154874262,98.67662473794549,0.28247554108767414,93.51949420442571,98.41938883034773,9.26699022375407e-05,93.51949420442571
44,0.5938498037916059,98.71593291404612,0.2681883385893668,93.88830347734458,98.47207586933614,8.271734841028555e-05,93.88830347734458
45,0.5865744284863742,99.03039832285116,0.2689585399640247,94.0463645943098,98.52476290832455,7.322330470336315e-05,94.0463645943098
46,0.5780098875613583,99.29245283018868,0.26566078425144624,94.30979978925184,98.52476290832455,6.421379363065152e-05,94.30979978925184
47,0.5737314378565462,99.26624737945492,0.25797000442591306,94.36248682824025,98.63013698630137,5.5713509635757295e-05,94.36248682824025
48,0.573564047958366,99.29245283018868,0.2573109209317679,94.15173867228661,98.52476290832455,4.774575140626318e-05,94.36248682824025
49,0.5706381232983411,99.31865828092243,0.25862597690618455,94.6259220231823,98.63013698630137,4.0332358013644026e-05,94.6259220231823
50,0.5622559848946346,99.34486373165619,0.2617765172326778,93.88830347734458,98.57744994731296,3.349364905389033e-05,94.6259220231823
